Sample Name,WGS84-long,WGS84-lat,Elevation(m),Rock Type,Sample Description,Sample Age,Uncertainty (+),Uncertainty (-),Age Interpretation,Isotopic System,Mineral Analyzed,Method,Lab,Primary Reference,Authors
GAAN-83-143-2,-127.6711779,57.88783943,,Plutonic,hornblendite,216,3,3,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 1, Geological Survey of Canada, Paper 87-2","Hunt, P.A. and Roddick, J.C."
GAAN-83-42-1,-127.8741654,57.86532257,1676,Plutonic,Bi. hbl. monzogranite,208,4,4,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 1, Geological Survey of Canada, Paper 87-2","Hunt, P.A. and Roddick, J.C."
GAAN-83-42-1,-127.8741654,57.86532257,1676,Plutonic,Bi. hbl. monzogranite,217,4,4,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 1, Geological Survey of Canada, Paper 87-2","Hunt, P.A. and Roddick, J.C."
GAAN-83-43-1,-127.8699902,57.86515971,1676,Sedimentary,clinopyroxene-hornblende porphyry,210,4,4,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 1, Geological Survey of Canada, Paper 87-2","Hunt, P.A. and Roddick, J.C."
GAB 81-57,-129.6267367,58.77477471,,Plutonic,biotite granite,107.4,1.6,1.6,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 1, Geological Survey of Canada, Paper 87-2","Hunt, P.A. and Roddick, J.C."
GAB 81-57-1,-129.6267367,58.77477471,,Plutonic,granodiorite,106.1,1.6,1.6,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 1, Geological Survey of Canada, Paper 87-2","Hunt, P.A. and Roddick, J.C."
GAB 81-57-1,-129.6267367,58.77477471,,Plutonic,granodiorite,108.8,1.7,1.7,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 1, Geological Survey of Canada, Paper 87-2","Hunt, P.A. and Roddick, J.C."
GAD 81-10d,-130.1184278,58.91642172,1524,Plutonic,hbl diorite,298.2,4.5,4.5,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 1, Geological Survey of Canada, Paper 87-2","Hunt, P.A. and Roddick, J.C."
GAD 81-42,-129.62673,58.73311078,1402,Plutonic,pink-weath. hbl. quartz monzonite,155,2.5,2.5,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 1, Geological Survey of Canada, Paper 87-2","Hunt, P.A. and Roddick, J.C."
GAD 81-44,-129.6017361,58.78310255,,Plutonic,dioritic pegmatite,214.1,3.2,3.2,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 1, Geological Survey of Canada, Paper 87-2","Hunt, P.A. and Roddick, J.C."
GAD 81-45-1,-129.6684187,58.81642692,914,Metamorphic,muscovite-biotite pegmatite,104.6,1.6,1.6,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 1, Geological Survey of Canada, Paper 87-2","Hunt, P.A. and Roddick, J.C."
GAD 81-57,-127.2599863,57.96648418,1676,Plutonic,granite,113.2,1.7,1.7,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 1, Geological Survey of Canada, Paper 87-2","Hunt, P.A. and Roddick, J.C."
GAD 81-G7C,-127.5767034,58.00816261,1981,Plutonic,Hornblende granodiorite,200.1,3,3,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 1, Geological Survey of Canada, Paper 87-2","Hunt, P.A. and Roddick, J.C."
GAD-81-43-1,-129.6183971,58.7414497,,Plutonic,pink weathering granodiorite,111.2,1.7,1.7,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 1, Geological Survey of Canada, Paper 87-2","Hunt, P.A. and Roddick, J.C."
GAD-81-43-1,-129.6183971,58.7414497,,Plutonic,pink weathering granodiorite,157.5,2.4,2.4,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 1, Geological Survey of Canada, Paper 87-2","Hunt, P.A. and Roddick, J.C."
GAD-81-61,-130.028413,58.95808809,,Metamorphic,quartz diorite schist,156.3,2.4,2.4,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 1, Geological Survey of Canada, Paper 87-2","Hunt, P.A. and Roddick, J.C."
GAE 82-659-1,-126.1182348,57.68311577,1981,Sedimentary,Lamprophyre,43.22,0.67,0.67,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 1, Geological Survey of Canada, Paper 87-2","Hunt, P.A. and Roddick, J.C."
GAE 83-787,-126.5015677,57.96644644,,Metamorphic,bi-ms-qtz schist,170.6,2.6,2.6,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 1, Geological Survey of Canada, Paper 87-2","Hunt, P.A. and Roddick, J.C."
GAE 83-787,-126.5015677,57.96644644,,Metamorphic,bi-ms-qtz schist,85.5,1.3,1.3,Cooling 375°C,K/Ar,Muscovite,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 1, Geological Survey of Canada, Paper 87-2","Hunt, P.A. and Roddick, J.C."
SYA80-101,-129.5044773,59.34588315,,Metamorphic,granite porphyry,69.2,1.6,1.6,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 1, Geological Survey of Canada, Paper 87-2","Hunt, P.A. and Roddick, J.C."
SYA80-43,-127.4863096,59.23180001,914,Hydrothermal,sericitized granodiorite porphyry,100,2,2,Igneous cooling age,K/Ar,Whole rock,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 1, Geological Survey of Canada, Paper 87-2","Hunt, P.A. and Roddick, J.C."
DY-2957,-133.5906974,59.53720925,,Hydrothermal,sericite alteration on a Mo vein,160,2,2,Cooling 375°C,K/Ar,Muscovite,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 2, Geological Survey of Canada, Paper 88-2","Hunt, P.A. and Roddick, J.C."
DY-2958,-133.5906974,59.53720925,,Plutonic,biotite granite,167,3,3,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 2, Geological Survey of Canada, Paper 88-2","Hunt, P.A. and Roddick, J.C."
GA-84-31A,-129.0850189,58.93311066,,Plutonic,foliated hornblende diorite,262,8,8,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 2, Geological Survey of Canada, Paper 88-2","Hunt, P.A. and Roddick, J.C."
PCA-108-83,-125.7933013,57.51090212,,Metamorphic,ms-bi granitic orthogneiss,41,1,1,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 2, Geological Survey of Canada, Paper 88-2","Hunt, P.A. and Roddick, J.C."
PCA-108-83,-125.7933013,57.51090212,,Metamorphic,ms-bi granitic orthogneiss,42,2,2,Cooling 375°C,K/Ar,Muscovite,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 2, Geological Survey of Canada, Paper 88-2","Hunt, P.A. and Roddick, J.C."
PCA-160-83,-126.4625453,57.34546499,,Plutonic,ms-bi-quartz monzonite,92,3,3,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 2, Geological Survey of Canada, Paper 88-2","Hunt, P.A. and Roddick, J.C."
PCA-160-83,-126.4625453,57.34546499,,Plutonic,ms-bi-quartz monzonite,98,2,2,Cooling 375°C,K/Ar,Muscovite,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 2, Geological Survey of Canada, Paper 88-2","Hunt, P.A. and Roddick, J.C."
SYA85-91,-130.3350356,59.906436,,Metamorphic,sericitized sandstone,74.7,2,2,Igneous cooling age,K/Ar,Whole rock,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 2, Geological Survey of Canada, Paper 88-2","Hunt, P.A. and Roddick, J.C."
GA 2_9_61-2A,-129.8685197,58.14148067,,Plutonic,"Granite, hornblende - pyroxene - biotite - quartz monzonite",197.6,16,16,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 63-17","Leech, G.B., Lowdon, J.A., Stockwell, C.H. and Wanless, R.K."
GA 21_9_61-4,-130.0250799,58.97641855,,Metamorphic,"muscovite-qz gneiss, schist",181.8,14,14,Cooling 375°C,K/Ar,Muscovite,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 63-17","Leech, G.B., Lowdon, J.A., Stockwell, C.H. and Wanless, R.K."
GA 22_9_61-3,-128.9308466,59.51095109,1600,Metamorphic,gneiss,58.7,8,8,Cooling 375°C,K/Ar,Muscovite,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 63-17","Leech, G.B., Lowdon, J.A., Stockwell, C.H. and Wanless, R.K."
GAC 17_8_61-A2,-127.7016123,58.44978821,,Plutonic,Granite,142.2,12,12,Cooling 375°C,K/Ar,Muscovite,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 63-17","Leech, G.B., Lowdon, J.A., Stockwell, C.H. and Wanless, R.K."
GAC 17_8_61-A2,-127.7016123,58.44978821,,Plutonic,Granite,125.6,10,10,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 63-17","Leech, G.B., Lowdon, J.A., Stockwell, C.H. and Wanless, R.K."
SE-70a-61,-133.043485,58.57754656,,Plutonic,granodiorite boulders in conglomerate,211.7,16,16,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 63-17","Leech, G.B., Lowdon, J.A., Stockwell, C.H. and Wanless, R.K."
SE-70b-61,-133.1351422,58.5730432,,Plutonic,qz monzonite,70.9,8,8,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 63-17","Leech, G.B., Lowdon, J.A., Stockwell, C.H. and Wanless, R.K."
SE-70c-61,-133.043485,58.57754656,,Sedimentary,granodiorite boulders in conglomerate,231.9,18,18,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 63-17","Leech, G.B., Lowdon, J.A., Stockwell, C.H. and Wanless, R.K."
VIII-M-59,-131.9684028,59.93306857,,Metamorphic,mica - albite - quartz gneiss,127.1,10,10,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 63-17","Leech, G.B., Lowdon, J.A., Stockwell, C.H. and Wanless, R.K."
VIII-M-59,-131.9684028,59.93306857,,Metamorphic,mica - albite - quartz gneiss,197.6,15,15,Cooling 375°C,K/Ar,Muscovite,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 63-17","Leech, G.B., Lowdon, J.A., Stockwell, C.H. and Wanless, R.K."
CB-55-4-12,-135.133333,59.6238,,Plutonic,P,62.1,8,8,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 61-17","Lowdon, J.A."
CB-55-4-2,-135.0185031,59.84134946,,Plutonic,granodiorite;,70.1,8,8,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 61-17","Lowdon, J.A."
CB-55-4-36-2,-135.5018439,59.29966241,,Plutonic,"hb qz diorite, foliated, shows late cataclasis;",31.3,8,8,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 61-17","Lowdon, J.A."
GA-8-9-59-1,-130.023932,58.88725121,,Plutonic,qz monzonite,73.1,8,8,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 61-17","Lowdon, J.A."
CB-55-4-10,-134.9851671,59.7330116,,Plutonic,granodiorite,55.6,8,8,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 62-17","Lowdon, J.A., Stockwell, C.H., Tipper, H.W. and Wanless, R.K."
CB-55-4-15_1,-135.1851662,59.56633422,,Plutonic,granite,66.3,8,8,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 62-17","Lowdon, J.A., Stockwell, C.H., Tipper, H.W. and Wanless, R.K."
CB-55-4-15_3,-135.2268226,59.50800689,,Plutonic,granodiorite;,71.6,8,8,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 62-17","Lowdon, J.A., Stockwell, C.H., Tipper, H.W. and Wanless, R.K."
CB-55-4-5,-135.0101731,59.79135243,,Plutonic,granodiorite;,66.5,8,8,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 62-17","Lowdon, J.A., Stockwell, C.H., Tipper, H.W. and Wanless, R.K."
AN 77-329,-129.6184706,58.28311996,,Plutonic,"Granodiorite, massive to incipient foliated, hornblende, biotite",147,5,5,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 81-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
AN-77-276,-129.518494,58.21928122,,Sedimentary,quartz monzodiorite / granodiorite - syenodiorite cobbles,227,14,14,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 81-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
AN-77-345-1,-129.4963286,58.15811246,,Plutonic,"Quartz monzonite, biotite hornblende granodiorite, syenodiorite",170,11,11,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 81-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
AN-77-356,-129.9185225,58.19146737,,Plutonic,"Quartz syenite, biotite hornblende granite",176,5,5,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 81-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
AN-77-356,-129.9185225,58.19146737,,Plutonic,"Quartz syenite, biotite hornblende granite",169,11,11,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 81-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
AN-78-467,-129.1351877,58.05311834,,Plutonic,Granodiorite,186,13,13,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 81-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
AN-78-505-5,-129.50401,58.17978279,,Plutonic,"Quartz syenite, granite",208,15,15,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 81-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
AN-78-523-1,-129.5060067,58.17311028,,Plutonic,"Acicular-hornblende diorite, biotite-hbl syenodiorite to diorite",189,14,14,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 81-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
AN-78-523-1,-129.5060067,58.17311028,,Plutonic,"Acicular-hornblende diorite, biotite-hbl syenodiorite to diorite",179,6,6,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 81-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
AN-78-542-1,-129.5901731,58.17195842,,Plutonic,Acicular-hornblende diorite,183,14,14,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 81-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
GA-77-64a,-128.0266553,58.83311567,,Volcanic,"Quartz porphyry of rhyolite flows, tuff & breccia, kaol. matrix",45.3,2.3,2.3,Igneous cooling age,K/Ar,Whole rock,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 81-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
GA-77-84,-127.4183362,58.01983077,1829,Plutonic,"Biotite hornblende quartz monzonite, med grained to megacrystic",112,4,4,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 81-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
GA-77-87,-127.1549524,58.06313638,,Plutonic,"Foliated qtz monzonite/granodiorite, cataclastic",100,3,3,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 81-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
GA-77-87,-127.1549524,58.06313638,,Plutonic,"Foliated qtz monzonite/granodiorite, cataclastic",106,4,4,Cooling 375°C,K/Ar,Muscovite,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 81-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
GA-77-88,-127.2816462,58.06313906,1905,Plutonic,"Protoclastic quartz diorite/granodiorite,med grained leucocratic",182,13,13,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 81-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
GA-77-88,-127.2816462,58.06313906,1905,Plutonic,"Protoclastic quartz diorite/granodiorite,med grained leucocratic",181,13,13,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 81-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
GA-78-11,-128.4184343,58.14974944,,Sedimentary,"Pyroxene hornblende porphyry, trachytic",55.4,3,3,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 81-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
JLK,-126.2117833,56.56986002,,Plutonic,"Hornblendite, very coarse grained",232,13,13,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 81-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
LI-79-130,-130.9401861,58.6364657,,Plutonic,Hornblende biotite granodiorite,173,4,4,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 81-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
LI-79-130,-130.9401861,58.6364657,,Plutonic,Hornblende biotite granodiorite,160,20,20,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 81-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
SYA-77-43,-133.4142859,59.7080476,,Plutonic,biotite leucogranite;,75.3,2.3,2.3,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 81-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
AN-78-528-3,-129.5518371,58.17844427,,Plutonic,"Quartz syenite, biotite granite",180,5,5,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 82-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
AN-79-607-1,-129.8601822,58.18313407,,Plutonic,hornblendite,230,10,10,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 82-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
AN-79-609-2,-129.8518496,58.18313606,,Plutonic,Hornblende clinopyroxenite,227,14,14,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 82-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
AN-79-635-1,-130.2518546,58.23312513,,Plutonic,"Quartz monxonite, seriate granodiorite, hbl - bi",197,18,18,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 82-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
AN-79-661-3,-129.4393573,58.07862403,,Plutonic,Equant-hornblende porphyry diorite,172,13,13,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 82-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
AN-79-661-3,-129.4393573,58.07862403,,Plutonic,Equant-hornblende porphyry diorite,170,16,16,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 82-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
AN-79-698-3,-129.5684876,58.22028107,,Volcanic,Hornblende - augite porphyry,280,19,19,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 82-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
AN-79-698-3,-129.5684876,58.22028107,,Volcanic,Hornblende - augite porphyry,170,11,11,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 82-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
AN-79-716-1,-130.4268622,58.23312274,,Plutonic,"Quartz monzonite, massive equigranular hbl-bi granodiorite",188,4,4,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 82-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
AN-79-716-1,-130.4268622,58.23312274,,Plutonic,"Quartz monzonite, massive equigranular hbl-bi granodiorite",171,14,14,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 82-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
AN-79-717-1,-129.468576,57.96764423,,Plutonic,"gabbro, biotite-hornblende",218,29,29,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 82-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
AN-79-718-1,-129.3143755,58.03945478,,Plutonic,Quartz diorite (thesis);Leucocratic hornblende granodiorite(GSC),142,53,53,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 82-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
AN-79-718-1,-129.3143755,58.03945478,,Plutonic,Quartz diorite (thesis);Leucocratic hornblende granodiorite(GSC),185,28,28,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 82-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
AN-79-719-1,-129.3268506,58.06094436,,Plutonic,"Monzodiorite, - massive, finegrained quartz diorite",150,4,4,Igneous cooling age,K/Ar,Whole rock,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 82-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
C76-165,-132.9685275,59.00806993,1370,Plutonic,"quartz diorite, biotite - hornblende;",161,6,6,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 82-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
C76-165,-132.9685275,59.00806993,1370,Plutonic,"quartz diorite, biotite - hornblende;",150,17,17,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 82-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
GA 79-102A,-129.7809108,58.72476949,,Plutonic,Leuco- to mesocratic med to crs grained hbl qtz granodiorite.,206,11,11,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Geological Survey of Canada, Paper 82-2","Stevens, R.D., Delabio, R.N. and Lachance, G.R."
